User,Rating,Username,Title,URL
GM C9C9C9C9C9,3085,C9C9C9C9C9,GM,https://lichess.org/@/C9C9C9C9C9
GM Zhigalko_Sergei,3085,Zhigalko_Sergei,GM,https://lichess.org/@/Zhigalko_Sergei
GM MrBochwalt,3029,MrBochwalt,GM,https://lichess.org/@/MrBochwalt
IM mutdpro,3017,mutdpro,IM,https://lichess.org/@/mutdpro
TaylorSwiftFans,3002,TaylorSwiftFans,,https://lichess.org/@/TaylorSwiftFans
Shprot86,3001,Shprot86,,https://lichess.org/@/Shprot86
GM muisback,3000,muisback,GM,https://lichess.org/@/muisback
FM Heisenberg01,2997,Heisenberg01,FM,https://lichess.org/@/Heisenberg01
GM Arka50,2993,Arka50,GM,https://lichess.org/@/Arka50
GM nihalsarin2004,2993,nihalsarin2004,GM,https://lichess.org/@/nihalsarin2004
IM Yarebore,2980,Yarebore,IM,https://lichess.org/@/Yarebore
GM hansontwitch,2979,hansontwitch,GM,https://lichess.org/@/hansontwitch
IM MatthewG-p4p,2974,MatthewG-p4p,IM,https://lichess.org/@/MatthewG-p4p
tptagain,2969,tptagain,,https://lichess.org/@/tptagain
GM msb2,2962,msb2,GM,https://lichess.org/@/msb2
Kallepook,2955,Kallepook,,https://lichess.org/@/Kallepook
GM Zaven_ChessMood,2950,Zaven_ChessMood,GM,https://lichess.org/@/Zaven_ChessMood
GM kyart2,2949,kyart2,GM,https://lichess.org/@/kyart2
GM defenceboy1,2945,defenceboy1,GM,https://lichess.org/@/defenceboy1
IM AngelitoRT,2944,AngelitoRT,IM,https://lichess.org/@/AngelitoRT
GM Inventing_Invention,2944,Inventing_Invention,GM,https://lichess.org/@/Inventing_Invention
GM Eyesless18,2939,Eyesless18,GM,https://lichess.org/@/Eyesless18
GM Night-King96,2939,Night-King96,GM,https://lichess.org/@/Night-King96
GM Kingdomino1,2936,Kingdomino1,GM,https://lichess.org/@/Kingdomino1
GM drop_stone,2929,drop_stone,GM,https://lichess.org/@/drop_stone
GM Andrey_Esipenko,2927,Andrey_Esipenko,GM,https://lichess.org/@/Andrey_Esipenko
GM sumsar42,2926,sumsar42,GM,https://lichess.org/@/sumsar42
IM dolar9,2926,dolar9,IM,https://lichess.org/@/dolar9
GM chesswarrior04,2925,chesswarrior04,GM,https://lichess.org/@/chesswarrior04
Crecent,2924,Crecent,,https://lichess.org/@/Crecent
GM AbasovN,2922,AbasovN,GM,https://lichess.org/@/AbasovN
GM Eduiturri,2919,Eduiturri,GM,https://lichess.org/@/Eduiturri
IM Abik02,2918,Abik02,IM,https://lichess.org/@/Abik02
GM NeverEnough,2917,NeverEnough,GM,https://lichess.org/@/NeverEnough
IM Mitrabha,2915,Mitrabha,IM,https://lichess.org/@/Mitrabha
Parakon1,2915,Parakon1,,https://lichess.org/@/Parakon1
GM dmitrij_IM,2904,dmitrij_IM,GM,https://lichess.org/@/dmitrij_IM
ultraking1,2904,ultraking1,,https://lichess.org/@/ultraking1
AgressiveMode,2904,AgressiveMode,,https://lichess.org/@/AgressiveMode
Yottabyte97,2904,Yottabyte97,,https://lichess.org/@/Yottabyte97
GM Kelevra317,2904,Kelevra317,GM,https://lichess.org/@/Kelevra317
FM FlamingFM,2903,FlamingFM,FM,https://lichess.org/@/FlamingFM
IM SaraciNderim,2903,SaraciNderim,IM,https://lichess.org/@/SaraciNderim
GM Grandelicious,2902,Grandelicious,GM,https://lichess.org/@/Grandelicious
whateverworks1,2900,whateverworks1,,https://lichess.org/@/whateverworks1
GM domtichess,2900,domtichess,GM,https://lichess.org/@/domtichess
GM BabaRamdev,2898,BabaRamdev,GM,https://lichess.org/@/BabaRamdev
FM promacherr,2896,promacherr,FM,https://lichess.org/@/promacherr
GM Twelvedigits,2892,Twelvedigits,GM,https://lichess.org/@/Twelvedigits
FM Zhalmakhanov_R,2891,Zhalmakhanov_R,FM,https://lichess.org/@/Zhalmakhanov_R
GM Esssquire,2890,Esssquire,GM,https://lichess.org/@/Esssquire
IM gon_freecs123,2888,gon_freecs123,IM,https://lichess.org/@/gon_freecs123
GM cjota95,2887,cjota95,GM,https://lichess.org/@/cjota95
GM Praggnanandhaachess,2887,Praggnanandhaachess,GM,https://lichess.org/@/Praggnanandhaachess
FM amirsose97,2885,amirsose97,FM,https://lichess.org/@/amirsose97
abyssus,2885,abyssus,,https://lichess.org/@/abyssus
GM vroeli,2883,vroeli,GM,https://lichess.org/@/vroeli
RoadToFM-L,2883,RoadToFM-L,,https://lichess.org/@/RoadToFM-L
Amateur_IM,2882,Amateur_IM,,https://lichess.org/@/Amateur_IM
IM Nikotheo,2881,Nikotheo,IM,https://lichess.org/@/Nikotheo
DevInProd,2880,DevInProd,,https://lichess.org/@/DevInProd
youareagmharry,2879,youareagmharry,,https://lichess.org/@/youareagmharry
IM Kacparov,2878,Kacparov,IM,https://lichess.org/@/Kacparov
IM Khalilmousavii,2876,Khalilmousavii,IM,https://lichess.org/@/Khalilmousavii
GM Riquelme93,2870,Riquelme93,GM,https://lichess.org/@/Riquelme93
GM Leon009,2869,Leon009,GM,https://lichess.org/@/Leon009
GM KAstar,2866,KAstar,GM,https://lichess.org/@/KAstar
tuntematon,2865,tuntematon,,https://lichess.org/@/tuntematon
caissaisabelle,2865,caissaisabelle,,https://lichess.org/@/caissaisabelle
